section id,recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,1,1711465899923318304,1711465899963318304,40,196.91006974693508,12.660434000547841,5522.410930954608,7472.26044272048
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,2,1711465900163444304,1711465900248569304,85,522.0269732302265,33.64627255014171,5760.972419705817,8778.419862213063
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,3,1711465900333694304,1711465900353700304,20,12.576726009679437,0.8165374972774555,1964.6938616956782,1999.8168344483215
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,4,1711465900513819304,1711465900533832304,20,61.26022442146746,3.9760445451442825,2232.8805988115523,2475.2684097594206
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,5,1711465900769070304,1711465900819070304,50,164.4420768484746,10.694703536217954,4661.219630898149,7054.517409116152
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,6,1711465900954195304,1711465901169446304,215,710.1651063874779,46.021598928616584,4694.478103804691,7616.997364477915
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,7,1711465901509697304,1711465901559822304,50,217.28953755444041,13.947946138241997,4853.737951693389,7007.416478049046
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,8,1711465901694947304,1711465901774947304,80,328.9949609615652,21.204998288036847,5794.597710900005,8639.816979037718
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,9,1711465902340574304,1711465902655824304,315,596.5596617616596,38.76233035305704,4350.196833982548,8473.717677501118
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,10,1711465902850959304,1711465902921075304,70,112.37784005390168,7.2630534317447415,3055.3284656967385,5757.310302575897
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,11,1711465903276326304,1711465903306451304,30,67.85825184786839,4.407875557709924,2014.157544153787,2449.4546604764814
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,12,1711465903481576304,1711465903621702304,140,276.7422431288831,18.004460779519995,2587.405055713692,4848.667593149672
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,13,1711465903977078304,1711465904017078304,40,114.58584765890386,7.4659323847932475,3086.170724942177,4375.40467793484
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,14,1711465904392454304,1711465904462454304,70,270.08646189994903,17.499259896400392,4067.15011570436,6639.828247269553
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,15,1711465904687704304,1711465904737704304,50,158.0478947601923,10.269246474938567,3414.9312021530227,4988.03628191784
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,16,1711465905108080304,1711465905263206304,155,137.78183469254245,8.829197204752328,1454.2897538472535,3996.2007938166216
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,17,1711465905493461304,1711465905553456304,59,268.1674943144623,17.4375634476158,4844.533638579572,7035.272207644772
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,18,1711465905693582304,1711465905778707304,85,197.82400838817804,12.889351526057682,3292.910598900907,6436.89375449715
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,19,1711465906814710304,1711465906844709304,29,60.71047372358858,3.9557690717830325,2579.5617880122227,3098.307655210836
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,20,1711465907169961304,1711465907250086304,80,137.9449245426668,8.953990330203464,3243.1225964667665,7333.395476404919
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,21,1711465907330086304,1711465907395211304,65,331.00961972389325,21.57946870168834,6021.979395536351,9919.58322037337
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,22,1711465907600336304,1711465907655462304,55,191.62724919760865,12.337569613448018,3628.42916144373,5756.221223802258
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,23,1711465907780587304,1711465908010837304,230,261.7810133656499,17.04184345734988,3358.1702809653148,8565.977405889294
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,24,1711465908270967304,1711465908381099304,110,31.11265154985099,2.0260822449945497,1316.572908492978,3155.5626797058558
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,25,1711465908641339304,1711465908716464304,75,362.17428365308024,23.605976606439263,5201.174805428336,7044.876492449352
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,26,1711465908916590304,1711465908961715304,45,105.79655765993202,6.85835066903422,2847.2365221645346,4037.303739186286
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,27,1711465909161842304,1711465909311966304,150,457.3819695376642,29.725177518678784,4660.49421122428,10697.963413057685
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,28,1711465909557216304,1711465909627341304,70,213.0968539688422,13.890435177020217,5564.829485518421,7010.639857156366
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,29,1711465909747342304,1711465909792467304,45,191.13220154538794,12.459607648850753,5707.794459144123,8277.555219061427
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,30,1711465909887467304,1711465910007602304,120,270.65425887904604,17.64857229179858,4096.00983046296,9177.025214416182
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,31,1711465910292843304,1711465910347969304,55,212.470700837434,13.760609395590697,3983.828346878146,6122.908181004903
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,32,1711465910683219304,1711465910783344304,100,301.46543797731715,19.664304584703395,3057.813996547819,4603.644655003828
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,33,1711465911053597304,1711465911098595304,44,119.44574720049621,7.776242845446531,2911.423105117595,4112.427958092477
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,34,1711465911293846304,1711465911348846304,55,164.2224774441927,10.64063031683275,3227.915020152002,4739.511240506819
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,35,1711465911529096304,1711465911574101304,45,129.23534703811612,8.366367389375384,3239.393363649677,4871.069520917372
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,36,1711465911799347304,1711465911879347304,80,220.1528885563136,14.195877194202188,4008.7019215270075,4982.049810643485
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,37,1711465912099601304,1711465912124610304,25,93.33465268100584,6.018230898894219,2971.3156352335345,3519.4984972476577
89d2b60b-966e-4c5b-b857-e5fcecfb4190,49cf4e8b-0a47-4fa0-be7b-b917740e47aa,38,1711465912374849304,1711465912479979304,105,633.931748954435,41.144545425757244,7324.163618582994,11048.873375717649
