section id,recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,25,1716479135102844133,1716479135257969133,155,458.85504169511626,29.606338863323263,5850.692767946414,13640.10253049916
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,26,1716479135388094133,1716479135533219133,145,125.36660561950907,8.16085113942417,2712.2347219544645,6599.8803869448675
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,27,1716479135638219133,1716479135698344133,60,211.26619777386452,13.78932790248803,3857.905896558577,6158.165586463113
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,28,1716479135898469133,1716479135988594133,90,202.61156504755192,13.18105595520632,2443.309427148181,5154.348543845141
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,29,1716479136238844133,1716479137119594133,880,155.57803985697112,10.093799795002065,3136.9380260575313,13864.955802746339
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,30,1716479137254719133,1716479137294844133,40,51.79771106995497,3.377181056702928,1374.4286457566395,1689.1963846557655
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,31,1716479137509969133,1716479137575094133,65,274.17981511403474,17.829539692758825,4349.708939540499,6883.54214225821
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,32,1716479137865344133,1716479138050469133,185,451.43665605896723,29.378143465202637,4366.14051880138,13642.262159137701
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,33,1716479138185601133,1716479138225718133,40,42.504123753027365,2.723833635139587,1477.4790312362384,2634.0322449950354
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,34,1716479138550969133,1716479138636093133,85,346.9312022352887,22.5816429017961,4769.26401624035,7313.726795755482
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,35,1716479139051468133,1716479139927218133,875,22.080994669976633,1.4409260463737426,3500.780755376538,10752.645196303693
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,36,1716479139997343133,1716479140477718133,480,36.72049634126615,2.3970437952167076,2947.8296580059773,8564.09345626342
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,37,1716479140577843133,1716479142624718133,2046,69.19076032041701,4.5122141874307635,2570.399595833074,10082.993268907521
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,38,1716479142704847133,1716479142884968133,180,440.6709250834615,28.67381300217313,4443.534673291549,16623.410576592687
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,39,1716479143085218133,1716479143120218133,35,67.48684733205846,4.336729804446596,2121.572012421366,3108.6339491224167
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,40,1716479143760843133,1716479143800842133,39,66.93561619227795,4.2052609250409,1747.7854547169577,2453.939299587123
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,41,1716479144101093133,1716479144141217133,40,84.61127779300449,5.3367144845215835,2184.7909356179534,3690.7803738428397
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,42,1716479144306342133,1716479144381342133,75,299.56592566113306,18.83380641985793,4503.917525604937,6935.538407250258
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,43,1716479144531592133,1716479144596592133,65,215.6488414966643,13.60886583208133,3400.441347651705,5735.17216429567
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,44,1716479144706717133,1716479144716717133,10,6.436242532950036,0.4189286610248859,1054.6952571188858,1063.5392040197785
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,45,1716479144886842133,1716479145447342133,560,514.9310669657623,33.44746200195594,2039.5354417974554,8430.13114574767
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,46,1716479145587467133,1716479145617592133,30,28.535396405034344,1.857445272865444,1348.931033155123,1857.5396341902508
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,47,1716479145792717133,1716479145827727133,35,82.03280315840775,5.351903343986832,2354.548911850738,3739.796012401617
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,48,1716479145957853133,1716479146002967133,45,88.92147510209547,5.80558761943503,2087.1133833303675,3903.8076177845005
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,49,1716479146168092133,1716479146528346133,360,321.38349475265284,20.88637610427302,1744.2029607456736,6585.336584423069
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,50,1716479146633467133,1716479146733592133,100,497.8741833628787,31.691024381272133,6375.7023927613045,11735.07043716557
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,51,1716479146818717133,1716479146903717133,85,62.043157160121346,3.9863472165966543,1242.843768692799,2539.784953326449
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,52,1716479147063842133,1716479147078967133,15,15.114747923573173,0.960741320290627,1119.877446832568,1147.4870605771519
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,53,1716479147264092133,1716479147274092133,10,5.147085467872733,0.33232918793212085,958.5066622737038,1029.766050002126
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,54,1716479147409217133,1716479147504342133,95,110.60181067434655,7.179645692790387,1408.1931767791325,3844.050960148656
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,55,1716479148124842133,1716479148154967133,30,66.62924323283124,4.281483075020491,1861.6565879428,2658.3934635064925
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,56,1716479148810474133,1716479148950591133,140,473.788064249131,30.86271098195505,4133.802377746246,8906.333183106812
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,57,1716479149095716133,1716479149160841133,65,324.23549841200884,21.130183346674727,5045.584066160769,7891.904793372777
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,58,1716479149466098133,1716479149536216133,70,227.86882480695076,14.716548109424705,3402.4815313595163,5625.083933700726
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,59,1716479149701341133,1716479149781466133,80,313.3065569987607,20.341696092061103,4294.17308905578,6634.10319326657
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,60,1716479149971591133,1716479150016591133,45,151.33962336495725,9.864444108462722,3313.0619029530217,5400.446559361537
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,61,1716479150231841133,1716479150406977133,175,466.6489310277505,30.26487985442684,3268.198373029589,7620.111878803486
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,62,1716479150597216133,1716479150642216133,45,107.70806080705073,6.767534177859672,2557.814260483193,4082.0913655835866
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,63,1716479150837341133,1716479150862478133,25,32.217041102645375,2.074455401242804,1643.0957233888832,2117.0831110977165
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,64,1716479151072591133,1716479151197719133,125,532.0729075962092,32.91059129391344,4977.566012722102,7389.734356905117
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,65,1716479151272841133,1716479151292841133,20,24.100578054212725,1.5078660686217966,2035.7465532555125,2117.817633502668
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,66,1716479151402966133,1716479151437971133,35,47.35986277077445,2.9586596970023153,1754.6549987667709,2811.7354347615146
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,67,1716479151573091133,1716479151643091133,70,231.83176728607893,14.76982928354512,3608.69661124373,5801.4021895793885
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,68,1716479151753216133,1716479151918341133,165,412.5010847088348,26.84635521890705,3750.550987610512,9936.094202857717
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,69,1716479152063603133,1716479152088591133,24,32.828668920928415,2.144119188703207,1535.1962202960551,1900.3251413636174
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,70,1716479152243716133,1716479152258716133,15,19.647676446014113,1.2835025753952256,1266.5236130899518,1437.809944232836
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,71,1716479152984341133,1716479153024465133,40,139.68142647910977,9.116298012228702,3492.4092657663705,4843.245370456469
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,72,1716479153224591133,1716479153334715133,110,86.2320198678631,5.626203983934847,2454.8288914923355,5240.209796786488
ba0186f6-b5f9-4c9e-96a9-f8bf97ec60a8,17ba065b-fe2d-409d-9cc9-6b750ba4a306,73,1716479153534840133,1716479153564965133,30,39.047949776452796,2.5488043927229156,1327.6578293357668,1614.8644717740226
