 Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Measured,Mixed,Mixed,Mixed,Mixed,Mixed
Frame,Time, X, Y, Z, Type, X, Y, Z, Type, X, Y, Z, Type
268,2.67,0,0,0,,0,0,0,,-1013.608,520.681,-41.092,Measured
269,2.68,0,0,0,,0,0,0,,-1013.591,520.618,-41.084,Measured
270,2.69,0,0,0,,0,0,0,,-1013.606,520.532,-41.081,Measured
271,2.7,0,0,0,,0,0,0,,-1013.631,520.489,-40.94,Measured
272,2.71,0,0,0,,0,0,0,,-1013.671,520.421,-40.682,Measured
273,2.72,0,0,0,,0,0,0,,-1013.685,520.266,-40.246,Measured
274,2.73,0,0,0,,0,0,0,,-1013.633,520.145,-39.641,Measured
275,2.74,0,0,0,,0,0,0,,-1013.529,519.893,-38.73,Measured
276,2.75,0,0,0,,0,0,0,,-1013.456,519.687,-37.58,Measured
277,2.76,0,0,0,,0,0,0,,-1011.435,516.391,-33.787,Measured
278,2.77,0,0,0,,0,0,0,,-1011.121,515.861,-32.269,Measured
279,2.78,0,0,0,,0,0,0,,-1011.811,513.69,-31.015,Measured
280,2.79,0,0,0,,0,0,0,,-1010.031,512.182,-26.934,Measured
281,2.8,0,0,0,,0,0,0,,-1013.162,511.033,-29.078,Measured
282,2.81,0,0,0,,0,0,0,,-1012.814,509.169,-25.851,Measured
283,2.82,0,0,0,,0,0,0,,-1013.054,507.093,-23.004,Measured
284,2.83,0,0,0,,0,0,0,,-1014.617,505.667,-19.542,Measured
285,2.84,0,0,0,,0,0,0,,-1014.616,502.688,-15.553,Measured
286,2.85,0,0,0,,0,0,0,,-1014.336,498.832,-11.689,Measured
287,2.86,0,0,0,,0,0,0,,-1013.574,496.406,-6.082,Measured
288,2.87,0,0,0,,0,0,0,,-1012.482,493.624,-0.511,Measured
289,2.88,0,0,0,,0,0,0,,-1011.246,490.522,5.466,Measured
290,2.89,0,0,0,,0,0,0,,-1009.743,487.516,11.669,Measured
291,2.9,0,0,0,,0,0,0,,-1008.019,484.598,18.042,Measured
292,2.91,0,0,0,,0,0,0,,-1006.286,481.62,24.614,Measured
293,2.92,0,0,0,,0,0,0,,-1004.159,478.576,31.676,Measured
294,2.93,0,0,0,,0,0,0,,-1001.871,475.518,38.87,Measured
295,2.94,0,0,0,,0,0,0,,-999.403,472.412,46.368,Measured
296,2.95,0,0,0,,0,0,0,,-996.829,469.166,53.94,Measured
297,2.96,0,0,0,,0,0,0,,-994.469,465.859,61.135,Measured
298,2.97,0,0,0,,0,0,0,,-992.216,462.462,68.129,Measured
299,2.98,0,0,0,,0,0,0,,-989.929,458.835,74.976,Measured
300,2.99,0,0,0,,0,0,0,,-987.546,455.369,81.766,Measured
301,3,0,0,0,,0,0,0,,-985.463,451.468,88.242,Measured
302,3.01,0,0,0,,0,0,0,,-983.534,447.649,94.551,Measured
303,3.02,0,0,0,,0,0,0,,-981.613,443.659,100.655,Measured
304,3.03,0,0,0,,0,0,0,,-979.82,439.879,106.64,Measured
305,3.04,0,0,0,,0,0,0,,-978.544,435.487,112.29,Measured
306,3.05,0,0,0,,0,0,0,,-976.724,431.459,117.976,Measured
307,3.06,0,0,0,,0,0,0,,-975.437,428.037,123.137,Measured
308,3.07,0,0,0,,0,0,0,,-974.232,423.622,128.103,Measured
309,3.08,0,0,0,,0,0,0,,-973.53,419.555,132.61,Measured
310,3.09,0,0,0,,0,0,0,,-972.781,415.784,137.082,Measured
311,3.1,0,0,0,,0,0,0,,-972.634,411.363,140.012,Measured
312,3.11,0,0,0,,0,0,0,,-972.372,408.748,144.92,Measured
313,3.12,0,0,0,,0,0,0,,-972.324,404.528,148.987,Measured
314,3.13,0,0,0,,0,0,0,,-972.639,401.329,151.609,Measured
315,3.14,0,0,0,,0,0,0,,-973.05,397.524,154.356,Measured
316,3.15,0,0,0,,0,0,0,,-973.458,394.04,157.002,Measured
317,3.16,0,0,0,,0,0,0,,-974.197,390.509,159.226,Measured
318,3.17,0,0,0,,0,0,0,,-974.868,387.192,161.616,Measured
319,3.18,0,0,0,,0,0,0,,-975.708,383.878,163.603,Measured
320,3.19,0,0,0,,0,0,0,,-976.764,380.563,165.256,Measured
321,3.2,0,0,0,,0,0,0,,-977.971,377.165,166.238,Measured
322,3.21,0,0,0,,0,0,0,,-979.357,373.966,167.298,Measured
323,3.22,0,0,0,,0,0,0,,-980.874,371.054,168.426,Measured
324,3.23,0,0,0,,0,0,0,,-982.507,368.128,169.243,Measured
325,3.24,0,0,0,,0,0,0,,-983.984,365.403,169.462,Measured
326,3.25,0,0,0,,0,0,0,,-985.57,363.119,170.146,Measured
327,3.26,0,0,0,,0,0,0,,-987.066,360.94,170.559,Measured
328,3.27,0,0,0,,0,0,0,,-988.496,358.975,170.822,Measured
329,3.28,0,0,0,,0,0,0,,-990.042,357.131,171.088,Measured
330,3.29,0,0,0,,0,0,0,,-991.236,355.398,171.462,Measured
331,3.3,0,0,0,,0,0,0,,-992.732,353.777,171.398,Measured
332,3.31,0,0,0,,0,0,0,,-994.057,352.395,171.448,Measured
333,3.32,0,0,0,,0,0,0,,-995.538,351.103,171.532,Measured
334,3.33,0,0,0,,0,0,0,,-997.075,349.901,171.431,Measured
335,3.34,0,0,0,,0,0,0,,-998.713,348.816,171.206,Measured
336,3.35,0,0,0,,0,0,0,,-1000.518,347.81,171.081,Measured
337,3.36,0,0,0,,0,0,0,,-1002.315,346.746,170.725,Measured
338,3.37,0,0,0,,0,0,0,,-1004.276,345.679,170.376,Measured
339,3.38,0,0,0,,0,0,0,,-1006.53,344.805,169.532,Measured
340,3.39,0,0,0,,0,0,0,,-1009.098,343.954,168.559,Measured
341,3.4,0,0,0,,0,0,0,,-1012.36,344.696,166.494,Measured
342,3.41,0,0,0,,0,0,0,,-1015.117,343.307,164.393,Measured
343,3.42,0,0,0,,0,0,0,,-1018.231,344.025,162.328,Measured
344,3.43,0,0,0,,0,0,0,,-1021.246,344.175,160.383,Measured
345,3.44,0,0,0,,0,0,0,,-1024.318,344.171,158.671,Measured
346,3.45,0,0,0,,0,0,0,,-1028.49,345.376,156.51,Measured
347,3.46,0,0,0,,0,0,0,,-1031.325,345.207,154.547,Measured
348,3.47,0,0,0,,0,0,0,,-1033.501,345.822,152.619,Measured
349,3.48,0,0,0,,0,0,0,,-1036.845,344.987,151.855,Measured
350,3.49,0,0,0,,0,0,0,,-1038.558,346.473,148.965,Measured
351,3.5,0,0,0,,0,0,0,,-1041.149,345.989,148.522,Measured
352,3.51,0,0,0,,0,0,0,,-1044.869,345.403,147.865,Measured
353,3.52,0,0,0,,0,0,0,,-1046.228,346.864,145.495,Measured
354,3.53,0,0,0,,0,0,0,,-1048.555,347.17,144.326,Measured
355,3.54,0,0,0,,0,0,0,,-1051.704,345.41,144.959,Measured
356,3.55,0,0,0,,0,0,0,,-1052.657,347.903,142.385,Measured
357,3.56,0,0,0,,0,0,0,,-1055.658,346.4,143.532,Measured
358,3.57,0,0,0,,0,0,0,,-1056.653,350.979,141.043,Measured
359,3.58,0,0,0,,0,0,0,,-1057.669,351.214,141.965,Measured
360,3.59,0,0,0,,0,0,0,,-1058.849,351.739,142.67,Measured
361,3.6,0,0,0,,0,0,0,,-1059.536,351.929,143.062,Measured
362,3.61,0,0,0,,0,0,0,,-1060.166,352.076,143.547,Measured
363,3.62,0,0,0,,0,0,0,,-1060.429,352.066,143.632,Measured
364,3.63,0,0,0,,0,0,0,,-1060.912,351.887,144.194,Measured
365,3.64,0,0,0,,0,0,0,,-1061.431,351.678,144.56,Measured
366,3.65,0,0,0,,0,0,0,,-1062.059,351.447,144.717,Measured
367,3.66,0,0,0,,0,0,0,,-1062.859,351.24,144.609,Measured
368,3.67,0,0,0,,0,0,0,,-1063.633,350.827,144.271,Measured
369,3.68,0,0,0,,0,0,0,,-1064.861,350.797,143.745,Measured
370,3.69,0,0,0,,0,0,0,,-1066.255,351.076,142.918,Measured
371,3.7,0,0,0,,0,0,0,,-1068.014,350.743,142.005,Measured
372,3.71,0,0,0,,0,0,0,,-1069.688,351.059,140.684,Measured
373,3.72,0,0,0,,0,0,0,,-1071.616,351.772,139.507,Measured
374,3.73,0,0,0,,0,0,0,,-1073.634,352.219,138.189,Measured
375,3.74,0,0,0,,0,0,0,,-1075.785,352.732,136.871,Measured
376,3.75,0,0,0,,0,0,0,,-1077.944,353.275,135.459,Measured
377,3.76,0,0,0,,0,0,0,,-1080.162,354.042,133.84,Measured
378,3.77,0,0,0,,0,0,0,,-1082.337,354.982,132.526,Measured
379,3.78,0,0,0,,0,0,0,,-1084.303,356.01,131.237,Measured
380,3.79,0,0,0,,0,0,0,,-1086.287,357.032,129.926,Measured
381,3.8,0,0,0,,0,0,0,,-1088.331,358.228,128.667,Measured
382,3.81,0,0,0,,0,0,0,,-1090.335,359.62,127.498,Measured
383,3.82,0,0,0,,0,0,0,,-1092.393,361.687,126.097,Measured
384,3.83,0,0,0,,0,0,0,,-1094.144,363.11,125.061,Measured
385,3.84,0,0,0,,0,0,0,,-1095.862,364.552,124.139,Measured
386,3.85,0,0,0,,0,0,0,,-1097.565,366.001,123.419,Measured
387,3.86,0,0,0,,0,0,0,,-1098.914,367.165,123.017,Measured
388,3.87,0,0,0,,0,0,0,,-1100.175,368.223,122.801,Measured
389,3.88,0,0,0,,0,0,0,,-1101.44,369.374,122.616,Measured
390,3.89,0,0,0,,0,0,0,,-1102.726,370.48,122.486,Measured
391,3.9,0,0,0,,0,0,0,,-1104.057,371.606,122.259,Measured
392,3.91,0,0,0,,0,0,0,,-1105.471,372.525,121.896,Measured
393,3.92,0,0,0,,0,0,0,,-1106.817,373.237,121.534,Measured
394,3.93,0,0,0,,0,0,0,,-1108.206,373.793,121.256,Measured
395,3.94,0,0,0,,0,0,0,,-1109.45,374.045,121.037,Measured
396,3.95,0,0,0,,0,0,0,,-1110.663,373.76,121.501,Measured
397,3.96,0,0,0,,0,0,0,,-1111.826,373.791,120.733,Measured
398,3.97,0,0,0,,0,0,0,,-1112.946,373.377,121.136,Measured
399,3.98,0,0,0,,0,0,0,,-1114.282,373.284,121.204,Measured
400,3.99,0,0,0,,0,0,0,,-1116.074,373.42,121.007,Measured
401,4,0,0,0,,0,0,0,,-1117.28,373.299,121.017,Measured
402,4.01,0,0,0,,0,0,0,,-1118.456,373.358,121.263,Measured
403,4.02,0,0,0,,0,0,0,,-1119.43,373.308,121.399,Measured
404,4.03,0,0,0,,0,0,0,,-1119.852,373.333,121.864,Measured
405,4.04,0,0,0,,0,0,0,,-1121.203,373.374,122.471,Measured
406,4.05,0,0,0,,0,0,0,,-1121.957,373.375,123.101,Measured
407,4.06,0,0,0,,0,0,0,,-1122.688,373.382,123.854,Measured
408,4.07,0,0,0,,0,0,0,,-1123.342,373.385,124.464,Measured
409,4.08,0,0,0,,0,0,0,,-1124.043,373.475,125.182,Measured
410,4.09,0,0,0,,0,0,0,,-1124.706,373.588,125.734,Measured
411,4.1,0,0,0,,0,0,0,,-1124.961,373.301,126.262,Measured
412,4.11,0,0,0,,0,0,0,,-1125.86,373.598,126.999,Measured
413,4.12,0,0,0,,0,0,0,,-1126.318,373.503,127.791,Measured
414,4.13,0,0,0,,0,0,0,,-1126.194,373.469,129.207,Measured
415,4.14,0,0,0,,0,0,0,,-1127.036,373.53,129.73,Measured
416,4.15,0,0,0,,0,0,0,,-1127.38,373.718,130.76,Measured
417,4.16,0,0,0,,0,0,0,,-1127.811,373.747,131.826,Measured
418,4.17,0,0,0,,0,0,0,,-1128.128,373.911,132.524,Measured
419,4.18,0,0,0,,0,0,0,,-1128.545,373.975,133.243,Measured
420,4.19,0,0,0,,0,0,0,,-1128.697,374.613,134.43,Measured
421,4.2,0,0,0,,0,0,0,,-1129.181,374.709,134.835,Measured
422,4.21,0,0,0,,0,0,0,,-1130.168,374.243,134.583,Measured
423,4.22,0,0,0,,0,0,0,,-1130.805,374.308,134.716,Measured
424,4.23,0,0,0,,0,0,0,,-1131.42,374.311,134.674,Measured
425,4.24,0,0,0,,0,0,0,,-1132.048,374.302,134.597,Measured
426,4.25,0,0,0,,0,0,0,,-1132.692,374.388,134.533,Measured
427,4.26,0,0,0,,0,0,0,,-1133.303,374.469,134.394,Measured
428,4.27,0,0,0,,0,0,0,,-1133.851,374.639,134.157,Measured
429,4.28,0,0,0,,0,0,0,,-1134.383,374.874,133.971,Measured
430,4.29,0,0,0,,0,0,0,,-1134.896,375.165,133.89,Measured
431,4.3,0,0,0,,0,0,0,,-1134.838,375.321,133.756,Measured
432,4.31,0,0,0,,0,0,0,,-1135.888,375.761,133.871,Measured
433,4.32,0,0,0,,0,0,0,,-1136.284,376.072,133.811,Measured
434,4.33,0,0,0,,0,0,0,,-1136.659,376.471,133.813,Measured
435,4.34,0,0,0,,0,0,0,,-1136.988,376.802,133.717,Measured
436,4.35,0,0,0,,0,0,0,,-1137.328,377.153,133.628,Measured
437,4.36,0,0,0,,0,0,0,,-1137.087,377.216,133.521,Measured
438,4.37,0,0,0,,0,0,0,,-1138.103,377.843,133.448,Measured
439,4.38,0,0,0,,0,0,0,,-1138.376,378.215,133.331,Measured
440,4.39,0,0,0,,0,0,0,,-1138.604,378.645,133.257,Measured
441,4.4,0,0,0,,0,0,0,,-1138.581,379.524,133.325,Measured
442,4.41,0,0,0,,0,0,0,,-1138.722,380.027,133.341,Measured
443,4.42,0,0,0,,0,0,0,,-1138.652,380.597,133.435,Measured
444,4.43,0,0,0,,0,0,0,,-1138.75,380.826,133.438,Measured
445,4.44,0,0,0,,0,0,0,,-1139.128,380.178,132.98,Measured
446,4.45,0,0,0,,0,0,0,,-1139.085,380.449,132.446,Measured
447,4.46,0,0,0,,0,0,0,,-1139.19,380.637,132.353,Measured
448,4.47,0,0,0,,0,0,0,,-1139.279,380.756,132.296,Measured
449,4.48,0,0,0,,0,0,0,,-1139.392,380.829,132.199,Measured
450,4.49,0,0,0,,0,0,0,,-1139.539,380.745,132.046,Measured
451,4.5,0,0,0,,0,0,0,,-1139.679,380.817,131.825,Measured
452,4.51,0,0,0,,0,0,0,,-1139.846,380.832,131.542,Measured
453,4.52,0,0,0,,0,0,0,,-1139.906,380.871,131.287,Measured
454,4.53,0,0,0,,0,0,0,,-1140.005,380.901,131.071,Measured
455,4.54,0,0,0,,0,0,0,,-1140.091,380.912,130.879,Measured
456,4.55,0,0,0,,0,0,0,,-1140.152,380.861,130.723,Measured
457,4.56,0,0,0,,0,0,0,,-1140.176,380.867,130.624,Measured
458,4.57,0,0,0,,0,0,0,,-1140.174,380.881,130.489,Measured
459,4.58,0,0,0,,0,0,0,,-1140.184,380.853,130.432,Measured
460,4.59,0,0,0,,0,0,0,,-1140.178,380.837,130.302,Measured
461,4.6,0,0,0,,0,0,0,,-1140.225,380.719,130.176,Measured
462,4.61,0,0,0,,0,0,0,,-1140.27,380.719,130.019,Measured
463,4.62,0,0,0,,0,0,0,,-1140.324,380.745,129.851,Measured
464,4.63,0,0,0,,0,0,0,,-1140.403,380.812,129.711,Measured
465,4.64,0,0,0,,0,0,0,,-1140.496,380.747,129.532,Measured
466,4.65,0,0,0,,0,0,0,,-1140.59,380.664,129.407,Measured
467,4.66,0,0,0,,0,0,0,,-1140.692,380.716,129.275,Measured
468,4.67,0,0,0,,0,0,0,,-1140.759,380.737,129.191,Measured
469,4.68,0,0,0,,0,0,0,,-1140.87,380.801,129.047,Measured
470,4.69,0,0,0,,0,0,0,,-1140.975,380.838,129.012,Measured
471,4.7,0,0,0,,0,0,0,,-1141.096,380.844,128.986,Measured
472,4.71,0,0,0,,0,0,0,,-1141.302,381.126,128.912,Measured
473,4.72,0,0,0,,0,0,0,,-1141.437,381.241,128.841,Measured
474,4.73,0,0,0,,0,0,0,,-1142.065,382.102,128.672,Measured
475,4.74,0,0,0,,0,0,0,,-1141.559,381.491,128.78,Measured
476,4.75,0,0,0,,0,0,0,,-1142.179,382.142,128.618,Measured
477,4.76,0,0,0,,0,0,0,,-1142.21,382.194,128.629,Measured
478,4.77,0,0,0,,0,0,0,,-1142.192,382.227,128.643,Measured
479,4.78,0,0,0,,0,0,0,,-1142.175,382.237,128.614,Measured
480,4.79,0,0,0,,0,0,0,,-1142.17,382.237,128.527,Measured
481,4.8,0,0,0,,0,0,0,,-1142.171,382.215,128.451,Measured
482,4.81,0,0,0,,0,0,0,,-1142.158,382.183,128.439,Measured
483,4.82,0,0,0,,0,0,0,,-1142.228,382.425,128.389,Measured
484,4.83,0,0,0,,0,0,0,,-1142.292,382.351,128.853,Measured
485,4.84,0,0,0,,0,0,0,,-1141.812,381.654,128.185,Measured
486,4.85,0,0,0,,0,0,0,,-1142.162,382.237,128.056,Measured
487,4.86,0,0,0,,0,0,0,,-1141.761,381.66,128.005,Measured
488,4.87,0,0,0,,0,0,0,,-1141.475,381.457,128.108,Measured
489,4.88,0,0,0,,0,0,0,,-1141.641,381.355,128.582,Measured
490,4.89,0,0,0,,0,0,0,,-1140.938,380.929,129.006,Measured
491,4.9,0,0,0,,0,0,0,,-1141.658,381.351,128.513,Measured
492,4.91,0,0,0,,0,0,0,,-1141.308,381.054,128.143,Measured
493,4.92,0,0,0,,0,0,0,,-1142.491,382.474,127.216,Measured
494,4.93,0,0,0,,0,0,0,,-1142.564,382.517,127.041,Measured
495,4.94,0,0,0,,0,0,0,,-1142.574,382.499,127.018,Measured
496,4.95,0,0,0,,0,0,0,,-1142.635,382.485,126.92,Measured
497,4.96,0,0,0,,0,0,0,,-1142.683,382.434,126.88,Measured
498,4.97,0,0,0,,0,0,0,,-1142.375,382.071,127.156,Measured
499,4.98,0,0,0,,0,0,0,,-1142.379,382.033,127.111,Measured
500,4.99,0,0,0,,0,0,0,,-1142.395,382.061,127.069,Measured
501,5,0,0,0,,0,0,0,,-1142.419,382.049,127.013,Measured
502,5.01,0,0,0,,0,0,0,,-1142.411,382.015,126.952,Measured
503,5.02,0,0,0,,0,0,0,,-1142.424,382.044,126.826,Measured
504,5.03,0,0,0,,0,0,0,,-1142.049,381.445,126.894,Measured
505,5.04,0,0,0,,0,0,0,,-1142.425,382.027,126.712,Measured
506,5.05,0,0,0,,0,0,0,,-1142.428,382.075,126.74,Measured
507,5.06,0,0,0,,0,0,0,,-1142.439,382.118,126.739,Measured
508,5.07,0,0,0,,0,0,0,,-1142.396,382.1,126.807,Measured
509,5.08,0,0,0,,0,0,0,,-1142.394,382.129,126.868,Measured
510,5.09,0,0,0,,0,0,0,,-1142.484,382.366,127.518,Measured
511,5.1,0,0,0,,0,0,0,,-1141.758,381.298,127.796,Measured
512,5.11,0,0,0,,0,0,0,,-1142.437,382.301,127.552,Measured
513,5.12,0,0,0,,0,0,0,,-1142.275,382.125,127.126,Measured
514,5.13,0,0,0,,0,0,0,,-1142.286,382.136,127.139,Measured
515,5.14,0,0,0,,0,0,0,,-1142.292,382.146,127.225,Measured
516,5.15,0,0,0,,0,0,0,,-1142.288,382.136,127.267,Measured
517,5.16,0,0,0,,0,0,0,,-1142.296,382.215,127.325,Measured
518,5.17,0,0,0,,0,0,0,,-1142.612,382.672,126.956,Measured
519,5.18,0,0,0,,0,0,0,,-1141.992,381.877,127.428,Measured
520,5.19,0,0,0,,0,0,0,,-1142.002,381.881,127.455,Measured
521,5.2,0,0,0,,0,0,0,,-1142.123,381.786,127.483,Measured
522,5.21,0,0,0,,0,0,0,,-1142.098,381.792,127.52,Measured
523,5.22,0,0,0,,0,0,0,,-1142.131,381.847,127.566,Measured
524,5.23,0,0,0,,0,0,0,,-1142.095,381.918,127.667,Measured
525,5.24,0,0,0,,0,0,0,,-1142.103,381.94,127.681,Measured
526,5.25,0,0,0,,0,0,0,,-1142,381.793,128.509,Measured
527,5.26,0,0,0,,0,0,0,,-1141.708,381.545,128.965,Measured
528,5.27,0,0,0,,0,0,0,,-1141.702,381.578,129.007,Measured
529,5.28,0,0,0,,0,0,0,,-1141.713,381.756,128.483,Measured
530,5.29,0,0,0,,0,0,0,,-1141.74,381.745,128.499,Measured
531,5.3,0,0,0,,0,0,0,,-1141.754,381.802,128.524,Measured
532,5.31,0,0,0,,0,0,0,,-1141.762,381.783,128.548,Measured
533,5.32,0,0,0,,0,0,0,,-1141.73,381.793,128.604,Measured
534,5.33,0,0,0,,0,0,0,,-1141.737,381.812,128.599,Measured
535,5.34,0,0,0,,0,0,0,,-1141.729,381.825,128.648,Measured
536,5.35,0,0,0,,0,0,0,,-1141.771,381.834,128.667,Measured
537,5.36,0,0,0,,0,0,0,,-1141.742,381.807,128.718,Measured
538,5.37,0,0,0,,0,0,0,,-1141.69,381.831,128.74,Measured
539,5.38,0,0,0,,0,0,0,,-1141.711,381.816,128.748,Measured
540,5.39,0,0,0,,0,0,0,,-1141.751,381.561,128.537,Measured
541,5.4,0,0,0,,0,0,0,,-1141.885,381.629,128.89,Measured
542,5.41,0,0,0,,0,0,0,,-1141.985,381.872,128.8,Measured
543,5.42,0,0,0,,0,0,0,,-1142.032,382.157,128.276,Measured
544,5.43,0,0,0,,0,0,0,,-1142.043,382.183,128.337,Measured
545,5.44,0,0,0,,0,0,0,,-1142.058,382.188,128.335,Measured
546,5.45,0,0,0,,0,0,0,,-1142.078,382.152,128.407,Measured
547,5.46,0,0,0,,0,0,0,,-1142.091,382.155,128.452,Measured
548,5.47,0,0,0,,0,0,0,,-1142.092,382.145,128.481,Measured
549,5.48,0,0,0,,0,0,0,,-1142.088,382.209,128.528,Measured
550,5.49,0,0,0,,0,0,0,,-1142.114,382.198,128.546,Measured
551,5.5,0,0,0,,0,0,0,,-1142.099,382.283,128.639,Measured
552,5.51,0,0,0,,0,0,0,,-1142.107,382.276,128.658,Measured
553,5.52,0,0,0,,0,0,0,,-1142.086,382.264,128.716,Measured
554,5.53,0,0,0,,0,0,0,,-1142.088,382.292,128.695,Measured
