Frame	Time	LH_pinky_fingertip X	LH_pinky_fingertip Y	LH_pinky_fingertip Z	LH_pinky_fingertip Type	LH_pinky_DIP X	LH_pinky_DIP Y	LH_pinky_DIP Z	LH_pinky_DIP Type	LH_pinky_PIP X	LH_pinky_PIP Y	LH_pinky_PIP Z	LH_pinky_PIP Type	LH_pinky_MCP X	LH_pinky_MCP Y	LH_pinky_MCP Z	LH_pinky_MCP Type	LH_ring_fingertip X	LH_ring_fingertip Y	LH_ring_fingertip Z	LH_ring_fingertip Type	LH_ring_DIP X	LH_ring_DIP Y	LH_ring_DIP Z	LH_ring_DIP Type	LH_ring_PIP X	LH_ring_PIP Y	LH_ring_PIP Z	LH_ring_PIP Type	LH_ring_MCP X	LH_ring_MCP Y	LH_ring_MCP Z	LH_ring_MCP Type	LH_middle_fingertip X	LH_middle_fingertip Y	LH_middle_fingertip Z	LH_middle_fingertip Type	LH_middle_DIP X	LH_middle_DIP Y	LH_middle_DIP Z	LH_middle_DIP Type	LH_middle_PIP X	LH_middle_PIP Y	LH_middle_PIP Z	LH_middle_PIP Type	LH_middle_MCP X	LH_middle_MCP Y	LH_middle_MCP Z	LH_middle_MCP Type	LH_index_fingertip X	LH_index_fingertip Y	LH_index_fingertip Z	LH_index_fingertip Type	LH_index_DIP X	LH_index_DIP Y	LH_index_DIP Z	LH_index_DIP Type	LH_index_PIP X	LH_index_PIP Y	LH_index_PIP Z	LH_index_PIP Type	LH_index_MCP X	LH_index_MCP Y	LH_index_MCP Z	LH_index_MCP Type	LH_thumb_fingertip X	LH_thumb_fingertip Y	LH_thumb_fingertip Z	LH_thumb_fingertip Type	LH_thumb_IP2 X	LH_thumb_IP2 Y	LH_thumb_IP2 Z	LH_thumb_IP2 Type	LH_thumb_IP1 X	LH_thumb_IP1 Y	LH_thumb_IP1 Z	LH_thumb_IP1 Type	LH_thumb_MCP2 X	LH_thumb_MCP2 Y	LH_thumb_MCP2 Z	LH_thumb_MCP2 Type	LH_thumb_MCP1 X	LH_thumb_MCP1 Y	LH_thumb_MCP1 Z	LH_thumb_MCP1 Type	LH_thumb_base X	LH_thumb_base Y	LH_thumb_base Z	LH_thumb_base Type	LH_wrist2 X	LH_wrist2 Y	LH_wrist2 Z	LH_wrist2 Type	LH_wrist1 X	LH_wrist1 Y	LH_wrist1 Z	LH_wrist1 Type	RH_thumb_fingertip X	RH_thumb_fingertip Y	RH_thumb_fingertip Z	RH_thumb_fingertip Type	RH_thumb_IP1 X	RH_thumb_IP1 Y	RH_thumb_IP1 Z	RH_thumb_IP1 Type	RH_thumb_IP2 X	RH_thumb_IP2 Y	RH_thumb_IP2 Z	RH_thumb_IP2 Type	RH_thumb_MCP1 X	RH_thumb_MCP1 Y	RH_thumb_MCP1 Z	RH_thumb_MCP1 Type	RH_thumb_MCP2 X	RH_thumb_MCP2 Y	RH_thumb_MCP2 Z	RH_thumb_MCP2 Type	RH_thumb_base X	RH_thumb_base Y	RH_thumb_base Z	RH_thumb_base Type	RH_wrist2 X	RH_wrist2 Y	RH_wrist2 Z	RH_wrist2 Type	RH_wrist1 X	RH_wrist1 Y	RH_wrist1 Z	RH_wrist1 Type	RH_index_fingertip X	RH_index_fingertip Y	RH_index_fingertip Z	RH_index_fingertip Type	RH_index_DIP X	RH_index_DIP Y	RH_index_DIP Z	RH_index_DIP Type	RH_index_PIP X	RH_index_PIP Y	RH_index_PIP Z	RH_index_PIP Type	RH_index_MCP X	RH_index_MCP Y	RH_index_MCP Z	RH_index_MCP Type	RH_middle_fingertip X	RH_middle_fingertip Y	RH_middle_fingertip Z	RH_middle_fingertip Type	RH_middle_DIP X	RH_middle_DIP Y	RH_middle_DIP Z	RH_middle_DIP Type	RH_middle_PIP X	RH_middle_PIP Y	RH_middle_PIP Z	RH_middle_PIP Type	RH_middle_MCP X	RH_middle_MCP Y	RH_middle_MCP Z	RH_middle_MCP Type	RH_ring_fingertip X	RH_ring_fingertip Y	RH_ring_fingertip Z	RH_ring_fingertip Type	RH_ring_DIP X	RH_ring_DIP Y	RH_ring_DIP Z	RH_ring_DIP Type	RH_ring_PIP X	RH_ring_PIP Y	RH_ring_PIP Z	RH_ring_PIP Type	RH_ring_MCP X	RH_ring_MCP Y	RH_ring_MCP Z	RH_ring_MCP Type	RH_pinky_fingertip X	RH_pinky_fingertip Y	RH_pinky_fingertip Z	RH_pinky_fingertip Type	RH_pinky_DIP X	RH_pinky_DIP Y	RH_pinky_DIP Z	RH_pinky_DIP Type	RH_pinky_PIP X	RH_pinky_PIP Y	RH_pinky_PIP Z	RH_pinky_PIP Type	RH_pinky_MCP X	RH_pinky_MCP Y	RH_pinky_MCP Z	RH_pinky_MCP Type
531	2.94444	1276.584	-23.408	278.144	Measured	1252.626	-24.716	276.126	Measured	1232.078	-30.197	271.15	Measured	1194.769	-42.685	268.055	Measured	1305.023	-49.931	286.023	Measured	1248.768	-53.5	281.444	Measured	1281.03	-52.136	287.946	Measured	1196.79	-59.903	280.964	Measured	1312.26	-89.408	295.762	Measured	1291.005	-91.528	297.331	Measured	1257.819	-86.572	292.444	Measured	1200.128	-78.81	287.599	Measured	1289.785	-140.296	302.993	Measured	1269.543	-132.703	300.314	Measured	1243.746	-122.326	297.304	Measured	1195.606	-102.226	289.034	Measured	1209.413	-185.476	267.992	Measured	1195.182	-160.469	265.964	Measured	1189.98	-177.733	250.378	Measured	1170.067	-147.752	258.888	Measured	1161.237	-152.972	233.734	Measured	1133.096	-123.286	238.522	Measured	1103.675	-52.35	258.981	Measured	1109.147	-72.268	263.62	Measured	1203.332	-473.064	269.482	Measured	1182.756	-485.544	254.563	Measured	1189.486	-500.783	273.678	Measured	1153.617	-509.152	244.162	Measured	1160.735	-520.19	267.491	Measured	1122.335	-538.123	247.84	Measured	1087.207	-600.774	268.528	Measured	1095.539	-580.705	272.404	Measured	1280.4	-537.018	309.493	Measured	1260.957	-544.246	306.843	Measured	1237.516	-552.033	303.304	Measured	1185.788	-564.977	296.586	Measured	1301.48	-585.212	298.309	Measured	1282.425	-588.49	297.45	Measured	1248.946	-587.253	294.474	Measured	1191.25	-589.488	293.141	Measured	1282.314	-635.968	294.573	Measured	1262.769	-633.401	292.19	Measured	1231.019	-620.219	284.781	Measured	1187.22	-610.937	284.724	Measured	1252.309	-661.145	279.847	Measured	1230.029	-658.576	275.488	Measured	1207.211	-642.82	269.689	Measured	1192.619	-622.925	271.89	Measured
532	2.95	1276.56	-23.392	278.177	Measured	1252.619	-24.687	276.126	Measured	1232.063	-30.197	271.161	Measured	1194.772	-42.684	268.067	Measured	1305.01	-49.918	286.05	Measured	1248.753	-53.5	281.478	Measured	1281.029	-52.097	287.958	Measured	1196.793	-59.893	280.976	Measured	1312.249	-89.398	295.798	Measured	1291.009	-91.472	297.344	Measured	1257.817	-86.551	292.478	Measured	1200.133	-78.792	287.619	Measured	1289.766	-140.144	303.242	Measured	1269.531	-132.576	300.489	Measured	1243.732	-122.201	297.37	Measured	1195.61	-102.183	289.028	Measured	1209.385	-185.465	268.071	Measured	1195.173	-160.433	266.027	Measured	1189.984	-177.699	250.537	Measured	1170.061	-147.746	258.95	Measured	1161.232	-152.983	233.799	Measured	1133.089	-123.288	238.562	Measured	1103.685	-52.349	259.016	Measured	1109.149	-72.262	263.657	Measured	1203.397	-473.064	269.509	Measured	1182.831	-485.547	254.576	Measured	1189.54	-500.808	273.699	Measured	1153.673	-509.163	244.182	Measured	1160.808	-520.201	267.504	Measured	1122.388	-538.163	247.822	Measured	1087.278	-600.796	268.545	Measured	1095.615	-580.721	272.41	Measured	1280.339	-537.069	309.831	Measured	1260.905	-544.292	307.123	Measured	1237.5	-552.094	303.438	Measured	1185.851	-565.01	296.593	Measured	1301.555	-585.227	298.329	Measured	1282.501	-588.5	297.467	Measured	1249.012	-587.278	294.5	Measured	1191.32	-589.491	293.121	Measured	1282.394	-635.969	294.574	Measured	1262.837	-633.421	292.186	Measured	1231.095	-620.23	284.783	Measured	1187.3	-610.925	284.683	Measured	1252.373	-661.166	279.857	Measured	1230.088	-658.582	275.489	Measured	1207.287	-642.826	269.69	Measured	1192.708	-622.911	271.846	Measured
533	2.95556	1276.549	-23.363	278.185	Measured	1252.594	-24.66	276.144	Measured	1232.046	-30.186	271.156	Measured	1194.768	-42.674	268.08	Measured	1305.001	-49.876	286.059	Measured	1248.735	-53.505	281.512	Measured	1281.011	-52.06	287.964	Measured	1196.795	-59.879	280.994	Measured	1312.249	-89.383	295.837	Measured	1291.008	-91.414	297.35	Measured	1257.815	-86.526	292.497	Measured	1200.131	-78.784	287.634	Measured	1289.762	-139.966	303.507	Measured	1269.522	-132.434	300.677	Measured	1243.721	-122.048	297.451	Measured	1195.614	-102.137	289.018	Measured	1209.372	-185.472	268.152	Measured	1195.142	-160.378	266.037	Measured	1189.969	-177.673	250.548	Measured	1170.066	-147.741	259.006	Measured	1161.216	-153.009	233.86	Measured	1133.086	-123.297	238.605	Measured	1103.69	-52.35	259.049	Measured	1109.156	-72.261	263.686	Measured	1203.449	-473.056	269.529	Measured	1182.898	-485.553	254.606	Measured	1189.582	-500.821	273.713	Measured	1153.728	-509.178	244.203	Measured	1160.881	-520.201	267.513	Measured	1122.45	-538.181	247.851	Measured	1087.344	-600.818	268.56	Measured	1095.705	-580.736	272.433	Measured	1280.298	-537.104	310.131	Measured	1260.872	-544.344	307.328	Measured	1237.494	-552.135	303.56	Measured	1185.93	-565.026	296.594	Measured	1301.627	-585.252	298.345	Measured	1282.585	-588.511	297.487	Measured	1249.07	-587.298	294.508	Measured	1191.386	-589.479	293.082	Measured	1282.467	-635.981	294.573	Measured	1262.902	-633.432	292.189	Measured	1231.174	-620.247	284.778	Measured	1187.38	-610.916	284.631	Measured	1252.436	-661.189	279.863	Measured	1230.141	-658.593	275.489	Measured	1207.365	-642.834	269.692	Measured	1192.797	-622.873	271.789	Measured
534	2.96111	1276.523	-23.316	278.199	Measured	1252.571	-24.626	276.142	Measured	1232.012	-30.146	271.167	Measured	1194.77	-42.629	268.08	Measured	1304.999	-49.844	286.08	Measured	1248.717	-53.496	281.531	Measured	1280.997	-52.02	287.969	Measured	1196.795	-59.83	281.004	Measured	1312.274	-89.387	295.781	Measured	1291.004	-91.356	297.362	Measured	1257.799	-86.494	292.514	Measured	1200.142	-78.735	287.658	Measured	1289.751	-139.794	303.727	Measured	1269.501	-132.287	300.832	Measured	1243.692	-121.907	297.5	Measured	1195.607	-102.084	289.003	Measured	1209.355	-185.446	268.212	Measured	1195.137	-160.335	266.057	Measured	1189.957	-177.641	250.552	Measured	1170.066	-147.713	259.054	Measured	1161.205	-153.003	233.915	Measured	1133.09	-123.275	238.628	Measured	1103.683	-52.328	259.064	Measured	1109.149	-72.25	263.683	Measured	1203.486	-473.019	269.555	Measured	1182.931	-485.549	254.637	Measured	1189.62	-500.82	273.72	Measured	1153.778	-509.164	244.199	Measured	1160.934	-520.195	267.513	Measured	1122.518	-538.144	247.889	Measured	1087.411	-600.818	268.552	Measured	1095.772	-580.74	272.444	Measured	1280.262	-537.146	310.35	Measured	1260.847	-544.385	307.49	Measured	1237.488	-552.159	303.642	Measured	1185.992	-565.039	296.582	Measured	1301.679	-585.26	298.336	Measured	1282.642	-588.494	297.489	Measured	1249.122	-587.295	294.498	Measured	1191.459	-589.46	293.045	Measured	1282.535	-635.974	294.549	Measured	1262.969	-633.425	292.171	Measured	1231.245	-620.234	284.76	Measured	1187.46	-610.881	284.575	Measured	1252.496	-661.181	279.851	Measured	1230.199	-658.586	275.475	Measured	1207.443	-642.822	269.672	Measured	1192.869	-622.846	271.734	Measured
535	2.96667	1276.493	-23.239	278.166	Measured	1252.55	-24.547	276.135	Measured	1231.982	-30.084	271.139	Measured	1194.762	-42.552	268.093	Measured	1304.971	-49.831	286.08	Measured	1248.7	-53.454	281.52	Measured	1280.983	-51.992	287.978	Measured	1196.773	-59.763	281.004	Measured	1312.259	-89.334	295.777	Measured	1291.003	-91.318	297.375	Measured	1257.783	-86.425	292.509	Measured	1200.127	-78.668	287.66	Measured	1289.743	-139.607	303.877	Measured	1269.48	-132.125	300.946	Measured	1243.675	-121.773	297.59	Measured	1195.613	-102.039	289.005	Measured	1209.347	-185.393	268.23	Measured	1195.138	-160.284	266.085	Measured	1189.932	-177.612	250.573	Measured	1170.053	-147.657	259.054	Measured	1161.184	-152.972	233.917	Measured	1133.079	-123.217	238.629	Measured	1103.661	-52.288	259.049	Measured	1109.133	-72.207	263.674	Measured	1203.52	-472.968	269.558	Measured	1182.979	-485.492	254.603	Measured	1189.658	-500.763	273.714	Measured	1153.822	-509.116	244.185	Measured	1160.993	-520.171	267.492	Measured	1122.557	-538.113	247.859	Measured	1087.481	-600.798	268.515	Measured	1095.825	-580.708	272.423	Measured	1280.24	-537.123	310.523	Measured	1260.822	-544.375	307.605	Measured	1237.479	-552.145	303.694	Measured	1186.065	-565.001	296.533	Measured	1301.731	-585.227	298.291	Measured	1282.705	-588.451	297.447	Measured	1249.181	-587.261	294.458	Measured	1191.524	-589.437	292.986	Measured	1282.603	-635.932	294.495	Measured	1263.035	-633.365	292.121	Measured	1231.316	-620.197	284.701	Measured	1187.547	-610.854	284.533	Measured	1252.567	-661.139	279.799	Measured	1230.256	-658.534	275.418	Measured	1207.494	-642.786	269.608	Measured	1192.956	-622.818	271.671	Measured
536	2.97222	1276.462	-23.14	278.128	Measured	1252.499	-24.454	276.096	Measured	1231.954	-29.999	271.109	Measured	1194.739	-42.489	268.061	Measured	1304.962	-49.795	286.101	Measured	1248.683	-53.388	281.477	Measured	1280.96	-51.968	287.994	Measured	1196.769	-59.691	280.955	Measured	1312.242	-89.245	295.745	Measured	1290.985	-91.272	297.379	Measured	1257.776	-86.343	292.492	Measured	1200.11	-78.601	287.63	Measured	1289.716	-139.381	304.006	Measured	1269.454	-131.942	301.05	Measured	1243.651	-121.661	297.648	Measured	1195.604	-101.997	289.001	Measured	1209.316	-185.327	268.244	Measured	1195.123	-160.265	266.113	Measured	1189.916	-177.591	250.599	Measured	1170.042	-147.589	259.046	Measured	1161.182	-152.896	233.885	Measured	1133.065	-123.158	238.618	Measured	1103.642	-52.226	259.044	Measured	1109.118	-72.153	263.661	Measured	1203.541	-472.907	269.526	Measured	1183.005	-485.419	254.6	Measured	1189.733	-500.621	273.621	Measured	1153.857	-509.055	244.135	Measured	1161.048	-520.118	267.435	Measured	1122.604	-538.054	247.813	Measured	1087.532	-600.742	268.44	Measured	1095.867	-580.674	272.37	Measured	1280.213	-537.043	310.647	Measured	1260.811	-544.331	307.67	Measured	1237.475	-552.103	303.706	Measured	1186.136	-564.948	296.466	Measured	1301.803	-585.179	298.225	Measured	1282.773	-588.399	297.378	Measured	1249.239	-587.2	294.368	Measured	1191.593	-589.411	292.939	Measured	1282.679	-635.866	294.4	Measured	1263.103	-633.304	292.043	Measured	1231.384	-620.126	284.624	Measured	1187.603	-610.834	284.477	Measured	1252.631	-661.048	279.678	Measured	1230.318	-658.452	275.306	Measured	1207.56	-642.706	269.514	Measured	1193.021	-622.793	271.617	Measured
537	2.97778	1276.428	-23.024	278.102	Measured	1252.477	-24.37	276.061	Measured	1231.935	-29.935	271.063	Measured	1194.711	-42.42	268.02	Measured	1304.931	-49.771	286.102	Measured	1248.667	-53.311	281.453	Measured	1280.935	-51.943	288	Measured	1196.744	-59.634	280.923	Measured	1312.235	-89.17	295.709	Measured	1290.983	-91.227	297.361	Measured	1257.755	-86.267	292.46	Measured	1200.085	-78.548	287.591	Measured	1289.711	-139.18	304.09	Measured	1269.436	-131.788	301.103	Measured	1243.57	-121.555	297.664	Measured	1195.592	-101.968	289.011	Measured	1209.304	-185.25	268.224	Measured	1195.099	-160.222	266.125	Measured	1189.907	-177.557	250.624	Measured	1170.029	-147.518	259.03	Measured	1161.16	-152.825	233.863	Measured	1133.039	-123.089	238.592	Measured	1103.616	-52.166	259.03	Measured	1109.096	-72.103	263.661	Measured	1203.573	-472.845	269.484	Measured	1183.047	-485.336	254.554	Measured	1189.783	-500.565	273.573	Measured	1153.904	-508.974	244.089	Measured	1161.1	-520.067	267.399	Measured	1122.655	-537.989	247.755	Measured	1087.588	-600.702	268.401	Measured	1095.917	-580.636	272.315	Measured	1280.199	-536.969	310.757	Measured	1260.803	-544.265	307.731	Measured	1237.476	-552.067	303.711	Measured	1186.205	-564.896	296.388	Measured	1301.872	-585.125	298.145	Measured	1282.852	-588.346	297.282	Measured	1249.298	-587.134	294.272	Measured	1191.661	-589.384	292.894	Measured	1282.744	-635.777	294.303	Measured	1263.158	-633.222	291.954	Measured	1231.465	-620.058	284.543	Measured	1187.678	-610.788	284.434	Measured	1252.704	-660.975	279.58	Measured	1230.379	-658.376	275.207	Measured	1207.632	-642.632	269.423	Measured	1193.087	-622.761	271.584	Measured
538	2.98333	1276.383	-22.93	278.096	Measured	1252.46	-24.291	276.046	Measured	1231.913	-29.865	271.025	Measured	1194.627	-42.296	268.101	Measured	1304.918	-49.746	286.094	Measured	1248.651	-53.252	281.434	Measured	1280.919	-51.91	287.992	Measured	1196.66	-59.496	281.05	Measured	1312.249	-89.107	295.661	Measured	1290.967	-91.194	297.353	Measured	1257.759	-86.202	292.43	Measured	1200.077	-78.511	287.572	Measured	1289.698	-139.025	304.134	Measured	1269.432	-131.657	301.125	Measured	1243.561	-121.455	297.671	Measured	1195.583	-101.927	289.018	Measured	1209.29	-185.201	268.224	Measured	1195.086	-160.188	266.158	Measured	1189.866	-177.496	250.631	Measured	1170.023	-147.464	259.041	Measured	1161.146	-152.763	233.864	Measured	1133.033	-123.04	238.593	Measured	1103.588	-52.11	259.042	Measured	1109.075	-72.053	263.669	Measured	1203.604	-472.793	269.464	Measured	1183.091	-485.265	254.51	Measured	1189.818	-500.526	273.568	Measured	1153.939	-508.931	244.062	Measured	1161.115	-519.996	267.41	Measured	1122.69	-537.965	247.709	Measured	1087.648	-600.661	268.371	Measured	1095.972	-580.605	272.287	Measured	1280.178	-536.921	310.887	Measured	1260.801	-544.215	307.804	Measured	1237.488	-552.037	303.732	Measured	1186.275	-564.853	296.33	Measured	1301.942	-585.083	298.084	Measured	1282.92	-588.301	297.217	Measured	1249.371	-587.078	294.194	Measured	1191.721	-589.361	292.85	Measured	1282.822	-635.707	294.221	Measured	1263.226	-633.168	291.882	Measured	1231.537	-620.006	284.467	Measured	1187.734	-610.772	284.393	Measured	1252.783	-660.915	279.479	Measured	1230.44	-658.326	275.128	Measured	1207.697	-642.572	269.338	Measured	1193.182	-622.73	271.534	Measured
539	2.98889	1276.355	-22.865	278.112	Measured	1252.436	-24.245	276.077	Measured	1231.866	-29.838	271.037	Measured	1194.603	-42.253	268.132	Measured	1304.911	-49.685	286.084	Measured	1248.64	-53.223	281.448	Measured	1280.91	-51.867	287.979	Measured	1196.652	-59.459	281.057	Measured	1312.247	-89.09	295.651	Measured	1290.983	-91.166	297.323	Measured	1257.752	-86.17	292.428	Measured	1200.072	-78.466	287.59	Measured	1289.706	-138.912	304.172	Measured	1269.439	-131.557	301.157	Measured	1243.564	-121.396	297.691	Measured	1195.581	-101.887	289.025	Measured	1209.27	-185.168	268.241	Measured	1195.079	-160.146	266.163	Measured	1189.857	-177.465	250.673	Measured	1170.004	-147.423	259.069	Measured	1161.123	-152.723	233.9	Measured	1133.012	-123.002	238.627	Measured	1103.558	-52.081	259.079	Measured	1109.053	-72.019	263.715	Measured	1203.636	-472.756	269.493	Measured	1183.108	-485.236	254.529	Measured	1189.846	-500.516	273.591	Measured	1153.983	-508.9	244.065	Measured	1161.161	-519.978	267.417	Measured	1122.736	-537.947	247.719	Measured	1087.7	-600.657	268.368	Measured	1096.033	-580.6	272.293	Measured	1280.16	-536.892	311.089	Measured	1260.799	-544.196	307.915	Measured	1237.495	-552.037	303.776	Measured	1186.356	-564.827	296.302	Measured	1302.011	-585.078	298.026	Measured	1282.988	-588.299	297.169	Measured	1249.432	-587.069	294.157	Measured	1191.815	-589.336	292.813	Measured	1282.903	-635.667	294.173	Measured	1263.293	-633.127	291.828	Measured	1231.616	-619.982	284.424	Measured	1187.807	-610.738	284.358	Measured	1252.854	-660.888	279.442	Measured	1230.512	-658.289	275.083	Measured	1207.758	-642.535	269.3	Measured	1193.263	-622.71	271.503	Measured
540	2.99444	1276.336	-22.826	278.151	Measured	1252.39	-24.219	276.114	Measured	1231.835	-29.802	271.097	Measured	1194.599	-42.22	268.179	Measured	1304.904	-49.635	286.079	Measured	1248.619	-53.202	281.479	Measured	1280.907	-51.8	287.963	Measured	1196.647	-59.428	281.092	Measured	1312.226	-89.082	295.651	Measured	1290.976	-91.115	297.307	Measured	1257.743	-86.171	292.437	Measured	1200.068	-78.434	287.624	Measured	1289.726	-138.84	304.186	Measured	1269.442	-131.502	301.182	Measured	1243.561	-121.351	297.718	Measured	1195.582	-101.838	289.026	Measured	1209.24	-185.14	268.287	Measured	1195.065	-160.106	266.173	Measured	1189.835	-177.427	250.696	Measured	1169.995	-147.406	259.124	Measured	1161.097	-152.718	233.943	Measured	1132.992	-122.981	238.685	Measured	1103.548	-52.067	259.141	Measured	1109.052	-72.002	263.769	Measured	1203.661	-472.736	269.537	Measured	1183.144	-485.211	254.553	Measured	1189.879	-500.512	273.638	Measured	1154.01	-508.89	244.097	Measured	1161.198	-519.975	267.453	Measured	1122.785	-537.941	247.754	Measured	1087.758	-600.66	268.378	Measured	1096.087	-580.601	272.311	Measured	1280.154	-536.908	311.267	Measured	1260.794	-544.208	308.049	Measured	1237.513	-552.049	303.839	Measured	1186.418	-564.827	296.3	Measured	1302.073	-585.097	297.992	Measured	1283.052	-588.297	297.129	Measured	1249.492	-587.076	294.144	Measured	1191.903	-589.279	292.77	Measured	1282.988	-635.644	294.138	Measured	1263.357	-633.111	291.804	Measured	1231.684	-619.955	284.393	Measured	1187.871	-610.686	284.321	Measured	1252.928	-660.884	279.409	Measured	1230.579	-658.289	275.067	Measured	1207.822	-642.529	269.288	Measured	1193.31	-622.673	271.448	Measured
541	3	1276.273	-22.777	278.192	Measured	1252.359	-24.189	276.157	Measured	1231.813	-29.776	271.133	Measured	1194.572	-42.209	268.198	Measured	1304.91	-49.555	286.046	Measured	1248.601	-53.174	281.508	Measured	1280.899	-51.727	287.952	Measured	1196.642	-59.411	281.121	Measured	1312.219	-89.07	295.668	Measured	1290.982	-91.062	297.277	Measured	1257.752	-86.154	292.464	Measured	1200.07	-78.402	287.654	Measured	1289.733	-138.794	304.185	Measured	1269.444	-131.464	301.18	Measured	1243.57	-121.321	297.726	Measured	1195.575	-101.784	289.017	Measured	1209.221	-185.12	268.326	Measured	1195.04	-160.046	266.161	Measured	1189.804	-177.369	250.668	Measured	1169.985	-147.38	259.171	Measured	1161.069	-152.702	233.987	Measured	1132.976	-122.953	238.73	Measured	1103.54	-52.033	259.186	Measured	1109.044	-71.97	263.817	Measured	1203.683	-472.711	269.578	Measured	1183.161	-485.209	254.59	Measured	1189.897	-500.515	273.67	Measured	1154.053	-508.877	244.115	Measured	1161.243	-519.966	267.467	Measured	1122.828	-537.939	247.763	Measured	1087.821	-600.65	268.398	Measured	1096.142	-580.6	272.331	Measured	1280.153	-536.932	311.399	Measured	1260.79	-544.214	308.15	Measured	1237.534	-552.053	303.904	Measured	1186.482	-564.831	296.282	Measured	1302.123	-585.105	297.95	Measured	1283.126	-588.309	297.087	Measured	1249.547	-587.088	294.122	Measured	1191.97	-589.233	292.71	Measured	1283.057	-635.618	294.1	Measured	1263.426	-633.095	291.763	Measured	1231.755	-619.942	284.345	Measured	1187.957	-610.633	284.264	Measured	1252.982	-660.889	279.392	Measured	1230.641	-658.281	275.048	Measured	1207.882	-642.524	269.275	Measured	1193.373	-622.622	271.384	Measured
542	3.00556	1276.239	-22.708	278.195	Measured	1252.326	-24.135	276.167	Measured	1231.777	-29.715	271.153	Measured	1194.568	-42.155	268.212	Measured	1304.889	-49.479	286.033	Measured	1248.578	-53.125	281.511	Measured	1280.874	-51.648	287.936	Measured	1196.634	-59.372	281.13	Measured	1312.207	-89.034	295.669	Measured	1290.983	-90.982	297.265	Measured	1257.725	-86.128	292.464	Measured	1200.064	-78.361	287.667	Measured	1289.741	-138.747	304.148	Measured	1269.447	-131.416	301.168	Measured	1243.574	-121.286	297.71	Measured	1195.472	-101.724	288.981	Measured	1209.207	-185.08	268.333	Measured	1195.042	-159.994	266.157	Measured	1189.758	-177.31	250.662	Measured	1169.972	-147.34	259.192	Measured	1161.054	-152.659	234.008	Measured	1132.962	-122.916	238.757	Measured	1103.521	-51.986	259.223	Measured	1109.032	-71.926	263.848	Measured	1203.721	-472.665	269.567	Measured	1183.188	-485.176	254.578	Measured	1189.944	-500.493	273.652	Measured	1154.102	-508.861	244.102	Measured	1161.287	-519.929	267.465	Measured	1122.864	-537.919	247.762	Measured	1087.89	-600.632	268.38	Measured	1096.195	-580.581	272.305	Measured	1280.178	-536.927	311.468	Measured	1260.81	-544.209	308.208	Measured	1237.564	-552.051	303.912	Measured	1186.538	-564.813	296.236	Measured	1302.214	-585.098	297.861	Measured	1283.194	-588.311	297.023	Measured	1249.615	-587.054	294.076	Measured	1192.029	-589.182	292.63	Measured	1283.128	-635.576	294.024	Measured	1263.517	-633.051	291.662	Measured	1231.826	-619.911	284.283	Measured	1188.031	-610.602	284.213	Measured	1253.047	-660.862	279.317	Measured	1230.707	-658.261	274.996	Measured	1207.943	-642.494	269.221	Measured	1193.422	-622.609	271.338	Measured
543	3.01111	1276.203	-22.61	278.208	Measured	1252.288	-24.035	276.158	Measured	1231.752	-29.634	271.129	Measured	1194.554	-42.094	268.194	Measured	1304.878	-49.403	286.023	Measured	1248.572	-53.041	281.507	Measured	1280.852	-51.574	287.935	Measured	1196.627	-59.305	281.119	Measured	1312.193	-88.977	295.657	Measured	1290.968	-90.938	297.265	Measured	1257.711	-86.06	292.439	Measured	1200.048	-78.289	287.644	Measured	1289.75	-138.657	304.104	Measured	1269.449	-131.325	301.135	Measured	1243.568	-121.212	297.68	Measured	1195.46	-101.656	288.968	Measured	1209.196	-185.008	268.303	Measured	1195.035	-159.937	266.163	Measured	1189.743	-177.253	250.687	Measured	1169.956	-147.282	259.188	Measured	1161.042	-152.574	234	Measured	1132.943	-122.838	238.74	Measured	1103.51	-51.915	259.225	Measured	1109.025	-71.859	263.86	Measured	1203.767	-472.601	269.52	Measured	1183.228	-485.118	254.545	Measured	1190.015	-500.427	273.616	Measured	1154.142	-508.797	244.05	Measured	1161.336	-519.871	267.42	Measured	1122.916	-537.85	247.698	Measured	1087.945	-600.591	268.35	Measured	1096.263	-580.538	272.277	Measured	1280.218	-536.903	311.475	Measured	1260.848	-544.165	308.201	Measured	1237.606	-551.984	303.946	Measured	1186.611	-564.771	296.166	Measured	1302.286	-585.039	297.743	Measured	1283.274	-588.255	296.888	Measured	1249.71	-587.004	293.994	Measured	1192.097	-589.122	292.571	Measured	1283.206	-635.495	293.922	Measured	1263.602	-632.977	291.552	Measured	1231.892	-619.856	284.182	Measured	1188.1	-610.569	284.143	Measured	1253.124	-660.798	279.217	Measured	1230.79	-658.194	274.886	Measured	1208.003	-642.431	269.133	Measured	1193.483	-622.544	271.266	Measured
