recording id,timestamp [ns],name,type
9d2fe463-2d08-476c-9ba8-57d06914e18b,1706548526297000000,recording.begin,recording
9d2fe463-2d08-476c-9ba8-57d06914e18b,1706548529749240000,left.start,cloud
9d2fe463-2d08-476c-9ba8-57d06914e18b,1706548530499752000,left.end,cloud
9d2fe463-2d08-476c-9ba8-57d06914e18b,1706548531082565000,right.start,cloud
9d2fe463-2d08-476c-9ba8-57d06914e18b,1706548532221144000,right.end,cloud
9d2fe463-2d08-476c-9ba8-57d06914e18b,1706548532674387000,left.start,cloud
9d2fe463-2d08-476c-9ba8-57d06914e18b,1706548534043094000,left.end,cloud
9d2fe463-2d08-476c-9ba8-57d06914e18b,1706548534492538000,right.start,cloud
9d2fe463-2d08-476c-9ba8-57d06914e18b,1706548536256192000,right.end,cloud
9d2fe463-2d08-476c-9ba8-57d06914e18b,1706548536695351000,left.start,cloud
9d2fe463-2d08-476c-9ba8-57d06914e18b,1706548538275022000,left.end,cloud
9d2fe463-2d08-476c-9ba8-57d06914e18b,1706548538997358000,right.start,cloud
9d2fe463-2d08-476c-9ba8-57d06914e18b,1706548540250891000,right.end,cloud
9d2fe463-2d08-476c-9ba8-57d06914e18b,1706548540573041000,left.start,cloud
9d2fe463-2d08-476c-9ba8-57d06914e18b,1706548542396111000,left.end,cloud
9d2fe463-2d08-476c-9ba8-57d06914e18b,1706548545464000000,recording.end,recording
