section id,recording id,blink id,start timestamp [ns],end timestamp [ns],duration [ms]
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,1,1706548528993848155,1706548529324096155,330
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,2,1706548542531392155,1706548542891647155,360
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,3,1706548544147898155,1706548544598274155,450
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,4,1706548544753400155,1706548545008651155,255
